Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-3.2361858819044277,-6.065435981486777,-3.861393879322577,-5.937580398831699,-3.0179624568507039 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-3.4009326892662088,-8.53135001389286,-4.506235449868541,-8.02535323295615,-3.084752026752706 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-3.5891014314278606,-11.00891616207233,-5.141350044587966,-10.119050756946195,-3.1874171675381568 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-3.79230824115111,-13.492714680283914,-5.787763078448052,-12.222270672954096,-3.317234452144929 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-3.8314578456643879,-13.295117740443443,-5.842021088367517,-12.094708757384467,-3.43650133668406 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-3.8880863570918744,-13.117581328745061,-5.849180726655959,-11.943174327633244,-3.525328906810388 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-3.928235939507184,-12.938743083518118,-5.852836065686574,-11.790851836714126,-3.586135486013011 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.9557891536918738,-12.75993763964006,-5.840229755354699,-11.645427561365864,-3.628441900277562 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-3.98263938868861,-12.637775756431492,-5.831925023624194,-11.518591573644244,-3.6614706939997898 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-4.005454305654196,-12.51710050320205,-5.821257819804828,-11.393690026999139,-3.6905544182559457 
